name,address,locality,city,zipcode,rating,price
Sonair,1354 Elgar Court,United States,Pittsburgh,15240,4.0,3
Y-find,3124 Longview Pass,United States,Knoxville,37924,3.3,2
Bytecard,3 Packers Crossing,United States,Newark,19725,3.6,1
Matsoft,41438 Petterle Lane,United States,Jacksonville,32209,4.0,1
Stim,415 Oxford Parkway,United States,Indianapolis,46278,3.2,4
Treeflex,6 Iowa Park,United States,Jackson,39282,4.9,4
Home Ing,34246 Grayhawk Point,United States,Saint Louis,63136,3.1,1
Cardify,8027 Westend Avenue,United States,Honolulu,96850,4.9,3
Zamit,05 Hanover Way,United States,Dallas,75323,5.0,4
Veribet,90785 Commercial Center,United States,Allentown,18105,3.4,4
Zamit,8 Lukken Lane,United States,Aurora,80044,4.0,4
Latlux,9 Blaine Hill,United States,Dulles,20189,3.2,4
Sub-Ex,09276 Village Green Way,United States,Boston,02216,4.6,4
Transcof,47125 Monterey Center,United States,Wilmington,19810,3.5,4
Toughjoyfax,72 Declaration Way,United States,Corona,92883,4.1,4
Matsoft,0 Kennedy Street,United States,Baltimore,21290,5.0,4
It,8881 Cottonwood Avenue,United States,Greenville,29605,4.4,4
Cardify,91648 Anhalt Avenue,United States,Corona,92878,3.8,4
Overhold,28492 Longview Avenue,United States,Salinas,93907,3.1,2
Tresom,36 Hanover Street,United States,Philadelphia,19120,3.7,2
Vagram,012 Shasta Street,United States,Colorado Springs,80905,4.7,1
Konklux,061 Sutteridge Drive,United States,Lancaster,93584,4.0,2
Trippledex,81811 Dixon Parkway,United States,Portland,97229,4.4,3
Stringtough,3129 Larry Point,United States,Santa Fe,87505,3.2,3
Sub-Ex,670 Londonderry Court,United States,Dearborn,48126,4.3,2
Ventosanzap,8 Parkside Way,United States,Newton,02162,4.5,2
Temp,1403 Cascade Road,United States,Washington,20022,4.3,4
Konklab,805 Katie Drive,United States,Naples,34102,4.0,4
Y-Solowarm,3355 Nelson Drive,United States,Orlando,32830,4.8,3
